No,元カテゴリ,食品名,アプリカテゴリ,小分類,アイコン,ふつう内部量,ちょっと内部量,いっぱい内部量,ふつう表示量（子ども向け）,ちょっと倍率,いっぱい倍率,ふつうkcal,ふつうP(g),ふつうF(g),ふつうC(g),栄養値の根拠,参照URL,確度,メモ
18,めん,おうちラーメン,主食,🍜 めん,🍜,1.1食,0.7食,1.5食,1食くらい,0.636,1.364,400.0,12.0,14.0,55,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,マルちゃん正麺醤油味（袋麺）基準
19,めん,おみせラーメン,主食,🍜 めん,🍜,1杯,0.7杯,1.2杯,1杯くらい,0.7,1.2,450.0,20.0,15.0,60,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,一般的なすっきりめのお店醤油ラーメン（通常サイズ）
20,めん,赤パスタ,主食,🍜 めん,🍝,1食,0.8食,1.2食,1食くらい,0.8,1.2,600.0,24.0,18.0,82,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,ミートソースパスタ1食=乾麺100g
21,めん,白パスタ,主食,🍜 めん,🍝,1食,0.8食,1.2食,1食くらい,0.8,1.2,750.0,25.0,35.0,85,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,ドナ カルボナーラ基準
22,揚げ物,からあげ,おかず,🍟 揚げ物,🍗,150g,80g,250g,大きめで4個くらい,0.533,1.667,435.0,36.0,27.0,21,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,一般的なスーパー惣菜
23,揚げ物,とり天,おかず,🍟 揚げ物,🍗,150g,80g,250g,4個くらい,0.533,1.667,471.0,32.9,24.0,28.2,ユーザー提供100g栄養値,,高,100gあたり熱量314kcalたんぱく質21.9g脂質16.0g炭水化物18.8g
24,揚げ物,チキンスティック,おかず,🍟 揚げ物,🍗,165g,80g,260g,5本くらい,0.485,1.576,430.0,35.0,24.0,28,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,一般的な鶏むね肉フライドチキン
25,揚げ物,ナゲット,おかず,🍟 揚げ物,🍗,5個,3個,6個,5個くらい,0.6,1.2,270.0,15.0,17.0,14,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,マックチキンナゲット
26,揚げ物,ポテト,おかず,🍟 揚げ物,🍟,Mサイズx0.8,Sサイズ,Mサイズ,Mサイズをちょっと分けたくらい,0.55,1.25,328.0,4.0,16.0,41,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,マックフライドポテト
27,お肉,とりそぼろ,おかず,🥩 お肉,🐓,80g,50g,120g,ごはん1杯分くらい,0.625,1.5,180.0,16.0,11.0,5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,手作り鶏ひき肉のそぼろ
28,お肉,豚肉,おかず,🥩 お肉,🐖,80g,30g,120g,1皿くらい,0.375,1.5,146.0,17.6,8.0,0.2,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,豚もも肉
29,お肉,牛肉,おかず,🥩 お肉,🐂,80g,30g,120g,1皿くらい,0.375,1.5,160.0,17.0,10.0,0.3,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,牛もも肉
30,お肉,ハム,おかず,🥩 お肉,🥓,2枚,1枚,4枚,2枚くらい,0.5,2.0,70.0,7.0,5.0,1,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,ロースハム
31,お魚,鮭,おかず,🐟 お魚,🐟,80g,60g,120g,1切れくらい,0.75,1.5,180.0,18.0,10.0,5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,西京焼き
32,お魚,サバ,おかず,🐟 お魚,🐟,130g,80g,200g,1切れくらい,0.615,1.538,330.0,27.0,24.0,0.5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,塩焼き
33,お魚,その他,おかず,🐟 お魚,🐟,80g,30g,120g,1切れくらい,0.5,1.5,180.0,18.0,11.0,1,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,さんまとか
34,たまご,卵焼き,おかず,🥚 たまご,🥚,卵2個分,卵1個分,卵3個分,卵2個分くらい,0.5,1.5,220.0,12.5,11.0,20,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,調理油1ml、鶏卵、砂糖卵1個につき小さじ1.5杯
35,たまご,ゆで卵,おかず,🥚 たまご,🥚,卵2個分,卵1個分,卵3個分,卵2個分くらい,0.5,1.5,34.0,7.2,0.1,0.5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,白身のみ
36,おやつ,チョコレート,おやつ,🍪 おかし,🍫,33g,12g,66g,1箱の半分くらい,0.364,2.0,183.0,3.0,10.5,21,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,たけのこの里基準
37,おやつ,バニラアイス,おやつ,🍪 おかし,🍨,100ml,80ml,200ml,1個の半分くらい,0.8,2.0,187.0,2.8,11.7,17.7,メーカー公式,https://www.meiji.co.jp/products/icecream/4902705125308.html,高,エッセルスーパーカップバニラ基準
38,おやつ,クッキー,おやつ,🍪 おかし,🍪,2枚,1枚,4枚,2枚くらい,0.5,2.0,92.0,1.2,4.6,12.4,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,ムーンライト基準
39,おやつ,ビスコ,おやつ,🍪 おかし,🍪,1袋,1袋の半分,2袋,1袋くらい,0.5,2.0,105.0,1.1,4.9,14.6,メーカー公式,https://www.glico.com/jp/product/snack_biscuit_cookie/bisco/47546/,高,1袋5枚入り
40,おやつ,パピコ,おやつ,🍪 おかし,🍧,45ml,30ml,80ml,小さいの1本くらい,0.667,1.778,55.0,1.0,2.0,8.3,メーカー公式（現行80ml/本を45ml換算）,https://www.glico.com/jp/product/ice/papico/47539/,概算,パピコチョココーヒー基準
41,おやつ,ポテトチップス,おやつ,🍪 おかし,🥔,30g,15g,65g,1袋の半分くらい,0.5,2.167,162.0,1.5,10.5,16.5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,一般的な塩味のポテトチップス
42,おやつ,クレープ,おやつ,🍪 おかし,🍰,2/3個,1/2個,1個,少し大人に分けたくらい,0.75,1.5,300.0,6.0,12.0,42,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,一般的なチョコバナナクレープ
43,おやつ,ホットケーキ,おやつ,🍪 おかし,🥞,200g,100g,300g,2枚くらい,0.5,1.5,500.0,10.0,15.0,80,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,焼いた状態の量・チョコソースがけ
44,おやつ,ゼリー,おやつ,🍪 おかし,🥣,1個,1/2個,2個,1個くらい,0.5,2.0,90.0,1.0,0.2,22,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,一般的なみかんゼリー基準
45,フルーツ,キウイ,野菜・果物,🥝 果物,🥝,1個,1/2個,2個,1個くらい,0.5,2.0,60.0,1.1,0.2,15,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,ゴールデンキウイ
46,フルーツ,バナナ,野菜・果物,🥝 果物,🍌,1本,1/2本,2本,1本くらい,0.5,2.0,93.0,1.1,0.2,22.5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
47,フルーツ,ぶどう,野菜・果物,🥝 果物,🍇,10粒,5粒,15粒,10粒くらい,0.5,1.5,60.0,0.4,0.1,15.5,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
48,フルーツ,いちご,野菜・果物,🥝 果物,🍓,5粒,3粒,10粒,5粒くらい,0.6,2.0,50.0,1.0,0.2,12,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
49,フルーツ,りんご,野菜・果物,🥝 果物,🍎,1/2個,1/4個,1個,1個の半分くらい,0.5,2.0,70.0,0.2,0.2,19,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
50,フルーツ,すいか,野菜・果物,🥝 果物,🍉,250g,170g,350g,小さめの1パックくらい,0.68,1.4,103.0,1.5,0.3,23.8,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
51,フルーツ,オレンジ,野菜・果物,🥝 果物,🍊,1/2個,1/4個,1個,1個の半分くらい,0.5,2.0,45.0,0.9,0.1,11,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
52,フルーツ,みかん,野菜・果物,🥝 果物,🍊,1個,1/2個,2個,1個くらい,0.5,2.0,49.0,0.7,0.1,12,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
53,フルーツ,その他,野菜・果物,🥝 果物,🥭,100g,50g,200g,100gくらい,0.5,1.5,55.0,0.7,0.2,14,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,何か……一般的なフルーツ……
54,野菜,もやしサラダ,野菜・果物,🍅 野菜,🌱,200g,100g,300g,少し大人に分けたくらい,0.5,1.5,60.0,4.0,2.0,6,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
55,野菜,枝豆,野菜・果物,🍅 野菜,🫛,200g,100g,250g,少し大人に分けたくらい,0.5,1.25,90.0,8.0,4.5,7,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,さやごと
56,野菜,トマト,野菜・果物,🍅 野菜,🍅,1個,1/2個,1.5個,1個くらい,0.5,1.5,40.0,1.5,0.3,9,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
57,野菜,ブロッコリー,野菜・果物,🍅 野菜,🥦,70g,30g,100g,5個くらい,0.429,1.429,26.0,3.8,0.4,4.6,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
58,野菜,とうもろこし,野菜・果物,🍅 野菜,🌽,1本,1/2本,1.5本,1本くらい,0.5,1.5,150.0,5.0,2.5,31,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
59,野菜,その他,野菜・果物,🍅 野菜,🥗,100g,50g,200g,100gくらい,0.5,1.5,35.0,2.0,0.3,7,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,中,
60,スープ,たまごスープ,その他,🍲 スープ,🐣,8割,6割,全部,少し大人に分けたくらい,0.75,1.25,105.0,7.0,5.0,8,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,卵1個、コンソメ小さじ3、玉ねぎ1/2個、水500ml、塩小さじ1/4。全量で計算。
61,スープ,みそ汁,その他,🍲 スープ,🥬,7割,5割,全部,少し大人に分けたくらい,0.714,1.429,80.0,5.0,2.5,10,日本食品標準成分表2020年版（八訂）相当の一般値／家庭レシピからの概算,https://fooddb.mext.go.jp/,概算,キャベツ1/4個、味噌適量、水600ml、塩1/4。全量で計算。
62,給食,給食,その他,🍱 給食,🍱,100%,80%,120%,完食,0.8,1.2,650.0,26.8,18.1,95.1,8〜9歳の学校給食摂取基準をベースに、PFCエネルギー比を基準範囲中央付近に置いた概算値,,概算,個別献立を再現するものではなく、「今日の昼は給食だった」を1回で記録するための平均的な仮想食品
63,主食,カレー,主食,🍚 主食,🍛,お米120g+カレー150g,お米100g+カレー100g,お米200g+カレー250g,1皿,0.765,1.66,310.0,7.8,7.6,55.4,一般的な家庭カレーの概算,,概算,バーモントカレー＋玉ねぎ＋にんじん＋皮なし鶏もも肉＋じゃがいも
64,揚げ物,コロッケ,おかず,🍟 揚げ物,🍟,2個,1個,3個,2個,0.5,1.5,271.0,6.4,15.1,30.2,一般的なポテトコロッケ1個約60gとして概算,,概算,
65,お肉,鶏肉,おかず,🥩 お肉,🥩,150g,100g,200g,150g,0.667,1.333,170.0,28.5,7.5,0.0,皮なし鶏もも肉の一般値,,中,
66,飲みもの,牛乳,その他,🥛 飲みもの,🥛,200ml,100ml,300ml,小さめコップ1杯,0.5,1.5,74.0,6.2,1.2,9.5,雪印メグミルク「すっきりCa鉄（栄養機能食品）」メーカー値,,高,
67,飲みもの,麦茶,その他,🥛 飲みもの,🥛,200ml,100ml,300ml,小さめコップ1杯,0.5,1.5,2.0,0.0,0.0,0.6,一般的な麦茶,,中,
